faixa,bloco_validacao,quadro,temperatura,intensidade,calibracao,limiar,fator,classe,fracao_excluida,delta_e00
0,1,0,3200,0.4,campo,24.0,0.5,amarelo,0.0,0.420257340175
0,1,0,3200,0.4,campo,24.0,0.5,azul,0.896551724138,0.291327851896
0,1,0,3200,0.4,campo,24.0,0.5,vermelho,0.21875,0.467213976891
0,1,0,3200,1.0,sem,24.0,0.5,amarelo,0.997435897436,17.460356208
0,1,0,3200,1.0,sem,24.0,0.5,azul,0.896551724138,29.0254049965
0,1,0,3200,1.0,sem,24.0,0.5,vermelho,1.0,
0,1,0,3200,1.0,campo,24.0,0.5,amarelo,0.997435897436,0.833061306149
0,1,0,3200,1.0,campo,24.0,0.5,azul,0.896551724138,0.88047677922
0,1,0,3200,1.0,campo,24.0,0.5,vermelho,1.0,
0,1,0,3200,1.5,sem,24.0,0.5,amarelo,1.0,
0,1,0,3200,1.5,sem,24.0,0.5,azul,0.896551724138,30.7618186484
0,1,0,3200,1.5,sem,24.0,0.5,vermelho,1.0,
0,1,0,3200,1.5,campo,24.0,0.5,amarelo,1.0,
0,1,0,3200,1.5,campo,24.0,0.5,azul,0.896551724138,3.83200862074
0,1,0,3200,1.5,campo,24.0,0.5,vermelho,1.0,
0,1,0,3800,0.4,sem,24.0,0.5,amarelo,0.0,20.5320624275
0,1,0,3800,0.4,sem,24.0,0.5,azul,0.896551724138,28.6796432914
0,1,0,3800,0.4,sem,24.0,0.5,vermelho,0.21875,13.7702191372
0,1,0,3800,0.4,campo,24.0,0.5,amarelo,0.0,0.341711619385
0,1,0,3800,0.4,campo,24.0,0.5,azul,0.896551724138,0.19324110025
0,1,0,3800,0.4,campo,24.0,0.5,vermelho,0.21875,0.448491641852
0,1,0,3800,1.0,sem,24.0,0.5,amarelo,0.932051282051,12.7966803285
0,1,0,3800,1.0,sem,24.0,0.5,azul,0.896551724138,19.0355008069
0,1,0,3800,1.0,sem,24.0,0.5,vermelho,0.96875,10.4613582986
0,1,0,3800,1.0,campo,24.0,0.5,amarelo,0.932051282051,0.0
0,1,0,3800,1.0,campo,24.0,0.5,azul,0.896551724138,0.185952939435
0,1,0,3800,1.0,campo,24.0,0.5,vermelho,0.96875,0.441792800479
0,1,0,3800,1.5,sem,24.0,0.5,amarelo,1.0,
0,1,0,3800,1.5,sem,24.0,0.5,azul,0.896551724138,20.8021680725
0,1,0,3800,1.5,sem,24.0,0.5,vermelho,1.0,
0,1,0,3800,1.5,campo,24.0,0.5,amarelo,1.0,
0,1,0,3800,1.5,campo,24.0,0.5,azul,0.896551724138,3.42686325314
0,1,0,3800,1.5,campo,24.0,0.5,vermelho,1.0,
0,1,200,2700,0.4,sem,24.0,0.5,amarelo,0.0,24.3137500074
0,1,200,2700,0.4,sem,24.0,0.5,azul,0.892720306513,42.7675764097
0,1,200,2700,0.4,sem,24.0,0.5,vermelho,0.1875,11.8040982428
0,1,200,2700,0.4,campo,24.0,0.5,amarelo,0.0,0.33055940164
0,1,200,2700,0.4,campo,24.0,0.5,azul,0.892720306513,0.28520312436
0,1,200,2700,0.4,campo,24.0,0.5,vermelho,0.1875,0.270560103836
0,1,200,2700,1.0,sem,24.0,0.5,amarelo,1.0,
0,1,200,2700,1.0,sem,24.0,0.5,azul,0.892720306513,40.2771994021
0,1,200,2700,1.0,sem,24.0,0.5,vermelho,1.0,
0,1,200,2700,1.0,campo,24.0,0.5,amarelo,1.0,
0,1,200,2700,1.0,campo,24.0,0.5,azul,0.892720306513,3.10611208254
0,1,200,2700,1.0,campo,24.0,0.5,vermelho,1.0,
0,1,200,2700,1.5,sem,24.0,0.5,amarelo,1.0,
0,1,200,2700,1.5,sem,24.0,0.5,azul,0.892720306513,42.5527793855
0,1,200,2700,1.5,sem,24.0,0.5,vermelho,1.0,
0,1,200,2700,1.5,campo,24.0,0.5,amarelo,1.0,
0,1,200,2700,1.5,campo,24.0,0.5,azul,0.892720306513,2.76730614291
0,1,200,2700,1.5,campo,24.0,0.5,vermelho,1.0,
0,1,200,3200,0.4,sem,24.0,0.5,amarelo,0.0,21.9870440367
0,1,200,3200,0.4,sem,24.0,0.5,azul,0.892720306513,34.9959902881
0,1,200,3200,0.4,sem,24.0,0.5,vermelho,0.1875,12.5605484568
0,1,200,3200,0.4,campo,24.0,0.5,amarelo,0.0,0.37058279328
